TrialNumber,Trialn,Blockn,BlockType,Partner,Feedback,ITI,ran,order,decision_onset,resp,resp_onset,rt,outcome_val,outcome_onset,outcome_offset,trialDuration,ITIonset,ITIoffset
1,1,1,1,1,1,0.75,1.0,0.0,4.018857,3.0,4.9583187,0.9394617,3.0,6.53643,7.54822,3.529363,7.5484653,8.31024
2,2,1,1,1,1,0.75,1.0,1.0,8.313839,3.0,9.045101,0.7312617,2.0,10.830573,11.838833,3.5249934,11.839011,12.597337
3,3,1,1,1,1,0.75,1.0,2.0,12.599833,2.0,13.064764,0.46493167,7.0,15.118421,16.127285,3.527452,16.127464,16.884525
4,4,1,1,3,1,0.75,1.0,3.0,16.890408,3.0,18.085594,1.195186,1.0,19.406914,20.415686,3.5252774,20.415874,21.171202
5,5,1,1,3,2,0.75,1.0,4.0,21.173412,2.0,21.905712,0.7322992,5.0,23.690004,24.699991,3.526578,24.700176,25.45845
6,6,1,1,3,1,0.75,1.0,5.0,25.460522,2.0,26.058914,0.59839296,8.0,27.97762,28.988523,3.528003,28.988699,29.74494
7,7,1,1,2,2,0.75,1.0,6.0,29.750818,2.0,31.146553,1.3957338,5.0,32.268,33.27686,3.5260398,33.27705,34.031857
8,8,1,1,2,1,12,1.0,7.0,34.035,2.0,34.599144,0.5641451,6.0,36.55203,37.56276,3.527758,37.562946,49.57804
9,9,2,5,3,3,0.75,1.0,8.0,49.58281,3.0,50.61273,1.0299193,7.0,52.100582,53.110794,3.527984,53.110985,53.864807
10,10,2,5,3,1,0.75,1.0,9.0,53.86693,3.0,54.298664,0.43173584,1.0,56.38481,57.39468,3.5277503,57.39486,58.151913
11,11,2,5,3,1,0.75,1.0,10.0,58.15401,2.0,59.052902,0.8988926,9.0,60.670998,61.679844,3.5258346,61.68002,62.43869
12,12,2,5,3,1,0.75,1.0,11.0,62.440796,3.0,63.039265,0.5984687,1.0,64.95846,65.96561,3.5248067,65.96578,66.72535
13,13,2,5,3,1,0.75,1.0,12.0,66.72746,3.0,67.07597,0.34851173,3.0,69.245,70.25255,3.525091,70.25275,71.012276
14,14,2,5,3,1,0.75,1.0,13.0,71.014366,2.0,71.47956,0.46519792,7.0,73.530975,74.53888,3.524512,74.53906,75.299095
15,15,2,5,3,2,0.75,1.0,14.0,75.30118,2.0,76.15031,0.8491282,5.0,77.81835,78.82784,3.5266657,78.828026,79.58602
16,16,2,5,3,1,8,1.0,15.0,79.58809,2.0,80.220245,0.6321536,6.0,82.105995,83.11572,3.5276318,83.115906,91.12898
17,17,3,6,3,3,0.75,1.0,16.0,91.13206,3.0,91.696365,0.5643075,9.0,93.6499,94.65941,3.5273511,94.659584,95.41587
18,18,3,6,3,3,0.75,1.0,17.0,95.41795,3.0,95.7997,0.38173926,9.0,97.93596,98.94345,3.5254984,98.94369,99.70269
19,19,3,6,3,3,0.75,1.0,18.0,99.70479,3.0,100.20359,0.4988061,6.0,102.222145,103.22954,3.524751,103.22971,103.98964
20,20,3,6,3,3,0.75,1.0,19.0,103.99172,3.0,104.35678,0.36505803,6.0,106.50799,107.516365,3.5246477,107.51657,108.276436
21,21,3,6,3,1,0.75,1.0,20.0,108.27847,3.0,108.72695,0.44847685,1.0,110.795654,111.80486,3.526391,111.805046,112.56329
22,22,3,6,3,3,0.75,1.0,21.0,112.5654,3.0,113.01383,0.4484352,6.0,115.08274,116.09182,3.526423,116.09201,116.84996
23,23,3,6,3,2,0.75,1.0,22.0,116.852036,3.0,117.73447,0.88243055,5.0,119.36941,120.37836,3.5263205,120.37853,121.13714
24,24,3,6,3,3,10,1.0,23.0,121.1392,3.0,122.28814,1.1489426,6.0,123.65724,124.66685,3.5276487,124.66702,134.68153
25,25,4,5,3,1,0.75,1.0,24.0,134.68456,3.0,135.66588,0.9813243,2.0,137.20256,138.21219,3.5276277,138.21237,138.96828
26,26,4,5,3,1,0.75,1.0,25.0,138.97032,2.0,139.80264,0.83232105,9.0,141.48781,142.49577,3.5254543,142.49596,143.25523
27,27,4,5,3,3,0.75,1.0,26.0,143.25732,3.0,143.62257,0.36524457,9.0,145.77396,146.78233,3.5250027,146.78256,147.54219
28,28,4,5,3,2,0.75,1.0,27.0,147.54433,3.0,148.07632,0.53198594,5.0,150.0619,151.0718,3.527462,151.07198,151.82904
29,29,4,5,3,1,0.75,1.0,28.0,151.83112,3.0,152.47966,0.64853925,3.0,154.34897,155.35811,3.52699,155.35829,156.11575
30,30,4,5,3,1,0.75,1.0,29.0,156.11781,3.0,156.83348,0.71566504,1.0,158.63495,159.64282,3.52502,159.64304,160.4026
31,31,4,5,3,1,0.75,1.0,30.0,160.40468,3.0,161.20372,0.7990404,2.0,162.92073,163.92758,3.5229144,163.92776,164.68962
32,32,4,5,3,1,8,1.0,31.0,164.69208,2.0,165.60728,0.9151992,6.0,167.20934,168.21709,3.5249987,168.2173,176.23282
33,33,5,2,1,3,0.75,1.0,32.0,176.23903,3.0,176.95015,0.71110886,8.0,178.75496,179.76518,3.5261402,179.76535,180.51932
34,34,5,2,1,3,0.75,1.0,33.0,180.52275,3.0,180.88664,0.36390156,7.0,183.04044,184.04782,3.5250812,184.04802,184.80638
35,35,5,2,1,3,0.75,1.0,34.0,184.80882,3.0,185.2902,0.4813913,7.0,187.3262,188.33385,3.525023,188.33406,189.093
36,36,5,2,1,1,0.75,1.0,35.0,189.09529,3.0,189.99405,0.8987598,4.0,191.61295,192.6238,3.528494,192.62398,193.3799
37,37,5,2,1,3,0.75,1.0,36.0,193.38245,2.0,194.53102,1.1485606,2.0,195.89993,196.9088,3.5263412,196.90898,197.66667
38,38,5,2,1,1,0.75,1.0,37.0,197.66907,3.0,198.23407,0.5649985,2.0,200.1877,201.24379,3.574718,201.24397,202.00375
39,39,5,2,1,3,0.75,1.0,38.0,202.00612,2.0,202.42102,0.41490036,1.0,204.52435,205.53378,3.5276499,205.53397,206.29053
40,40,5,2,1,3,12,1.0,39.0,206.2929,2.0,206.70795,0.41505432,2.0,208.81021,209.81776,3.5248725,209.81795,221.82008
41,41,6,4,2,2,0.75,1.0,40.0,221.82541,2.0,222.63771,0.8123081,5.0,224.34189,225.35077,3.5253625,225.35095,226.1071
42,42,6,4,2,3,0.75,1.0,41.0,226.11055,2.0,226.70789,0.5973319,1.0,228.6279,229.63676,3.5262167,229.63696,230.39383
43,43,6,4,2,3,0.75,1.0,42.0,230.39594,2.0,230.8778,0.4818731,4.0,232.9129,233.92068,3.524757,233.92087,234.68068
44,44,6,4,2,3,0.75,1.0,43.0,234.6828,2.0,235.24796,0.5651585,4.0,237.20001,238.20811,3.5253146,238.20833,238.96764
45,45,6,4,2,3,0.75,1.0,44.0,238.96974,2.0,239.96867,0.9989347,3.0,241.48792,242.4957,3.5259595,242.49588,243.25456
