outcome	trial_starts	target_starts	RT	thresh	trial_type
1.0	4.02765128845931	6.061004102710285	0.2553775775450049	0.2604663203593431	Small_loss
1.0	10.111007061073906	12.144374667128432	0.10537806054344401	0.41622251320143405	Neutral
1.0	20.994336812160327	25.027708644454833	0.29604297956393566	0.3652544106072368	Large_loss
1.0	30.677642352995463	33.7110238452442	0.258633586941869	0.36698805934469236	Large_loss
0.0	39.21100633656897	43.244340132776415	0.280135444671032	0.4531684418729671	Large_gain
1.0	56.09434242702264	59.12767411010282	0.2887207318417495	0.4659043370197312	Large_gain
1.0	63.37767531760619	65.41100760444533	0.2951527541008545	0.46524538748284405	Large_gain
1.0	70.66101032130246	74.69432419384248	0.27962135380948894	0.33996211503034623	Large_loss
1.0	77.74434103840031	81.7776841926825	0.2857575398957124	0.39282747754107405	Neutral
1.0	88.62774263543542	92.66140867870126	0.08780750361620449	0.33137753150022053	Small_loss
1.0	98.31101617765671	102.34434514387976	0.31969780031067785	0.34522103883421223	Small_gain
1.0	109.19434502313379	112.22796801431105	0.2960251690092264	0.336077626595304	Small_loss
1.0	115.27766185403743	119.3110022914625	0.2769316594203701	0.3346033119135795	Small_loss
1.0	127.36101762665203	130.39434810224338	0.3136980611307081	0.3661905652564806	Large_gain
1.0	133.4443987566483	135.47766795188363	0.29833540820982307	0.3014441163672246	Large_gain
1.0	145.52768087208096	148.56101134767232	0.19000955128285568	0.3097906156973535	Small_gain
0.0	151.6109898542636	154.6443565547088	0.5296615030092653	0.37023837525451225	Large_loss
1.0	158.8943493097322	161.92768642655574	0.28728109631629195	0.3308893543667181	Small_loss
0.0	164.97768093245395	169.01101653989463	0.48612377303652465	0.39172995485119755	Large_loss
1.0	174.66101967939176	176.69435528683243	0.0004630742041626945	0.32968170948557574	Neutral
1.0	181.94435558871191	184.97768636618275	0.22935787847382016	0.36392103019865585	Large_loss
1.0	192.82798027037643	196.86101732477255	0.32100732828257605	0.48855132594838313	Neutral
0.0	202.5110246904951	206.54435486420698	0.31856818903179374	0.30899477375855056	Large_gain
1.0	212.19435619245633	216.22767217810906	0.2773902055196231	0.3060084926625917	Small_gain
1.0	219.47769089428766	221.5110231811268	0.3730418964551063	0.41934596513195566	Neutral
1.0	227.9610223358759	230.99435915081995	0.005750089650973678	0.30899477375855056	Large_gain
1.0	236.44434291002108	238.47769753550529	0.28028185341099743	0.2874159330838034	Small_loss
1.0	244.92769608650997	246.9610316939652	0.27398748553241603	0.28758525068026186	Small_loss
1.0	259.4109961332433	262.4443616261851	0.05658350248995703	0.3511405148522587	Neutral
1.0	266.69435830556904	270.7277017617307	0.2874996528553311	0.3051719851953686	Small_gain
0.0	273.7779800288845	275.8110454593989	0.4138615558913443	0.3528893570107354	Large_gain
1.0	281.0610315732047	283.0943614450516	0.2706777426064946	0.3519112505940467	Large_gain
1.0	287.1443634978059	291.177699708991	0.26436194170673843	0.364914697069083	Large_loss
1.0	294.2280996675545	298.2610268036078	0.2898536637221696	0.3242370142500993	Neutral
1.0	303.9110320562031	306.94436856928223	0.2427182033425197	0.3276358875991575	Small_gain
1.0	312.39436742215184	315.42768461530795	0.32232078062952496	0.3290254134716409	Small_gain
1.0	325.677714802674	327.7110362220701	0.22304962440102827	0.3058504720827772	Small_gain
1.0	332.96104739139264	334.9947701873898	0.2808056042267708	0.36265514223523204	Large_loss
0.0	340.24436971639807	344.27771377630415	0.47219803879852407	0.4116105666619411	Large_loss
1.0	347.32770164098474	350.3610475121386	0.2489884213428013	0.34917103029824975	Large_gain
0.0	353.4110393011797	355.44441415219626	0.5875593634555116	0.32461270146630006	Neutral
0.0	364.29433977052395	368.327680811708	0.3473575790267205	0.4440701503486829	Neutral
1.0	371.3776780344633	374.4111742387031	0.08878829116292764	0.2894514575756855	Small_gain
1.0	382.26103948229866	385.2943756934983	0.26071500589023344	0.40988353615188666	Large_loss
0.0	397.9443764179887	399.9777090067073	0.40042244200594723	0.3352863730736002	Small_loss
0.0	405.2276999504975	408.26104340665916	0.5549464415817056	0.2955780358956216	Small_gain
0.0	420.91104413114954	422.94438668170187	0.29972734770854004	0.30098126918012474	Small_gain
0.0	430.59437985935074	432.6277127499343	0.34633935913734604	0.3117405678304889	Small_loss
1.0	437.8776973543863	441.91104564051784	0.33406819448282477	0.44799356605900176	Neutral
0.0	446.36106773767096	448.39438311959384	0.3136576100514503	0.3155288636968137	Small_loss
