TrialNumber,nTrial,Block,Endowment,ITI,ISI,L_Option,R_Option,ran,order,cue_Onset,endowment_onset,endowment_offset,ISI_onset,ISI_offset,decision_onset,resp,rt,resp_onset,decision_offset,trialDuration,ITIonset,ITIoffset
1,1,3,15,2,2,0,4,1.0,0.0,4.006069,5.01202,6.030212,6.0302806,8.033807,8.034045,3.0,2.6269062,10.660952,11.551287,3.5177126,11.551916,13.554333
2,2,1,25,2,2,11,2,1.0,1.0,13.557722,14.561362,15.571104,15.571262,17.574957,17.575102,999.0,999.0,999.0,20.576468,3.5176475,21.092955,23.09566
3,3,1,23,2,2,4,7,1.0,2.0,23.098806,24.10178,25.110731,25.110872,27.113262,27.113413,999.0,999.0,999.0,30.124186,3.5274475,30.641062,32.643772
4,4,1,25,6,2,8,5,1.0,3.0,32.645336,33.648727,34.657013,34.657146,36.65951,36.659653,999.0,999.0,999.0,39.672985,3.5323777,40.19229,46.195488
5,5,2,23,2,3.5,10,1,1.0,4.0,46.198025,47.202114,48.20974,48.209934,51.713024,51.713173,999.0,999.0,999.0,54.72229,3.525151,55.238525,57.24184
6,6,2,19,2,5,9,4,1.0,5.0,57.244488,58.247837,59.258663,59.258858,64.26162,64.261765,999.0,999.0,999.0,67.27036,3.5245526,67.786514,69.78961
7,7,1,25,2,2,8,5,1.0,6.0,69.792564,70.796074,71.803566,71.803696,73.807014,73.80716,999.0,999.0,999.0,76.820335,3.5285773,77.335945,79.33882
8,8,2,15,4,2,7,5,1.0,7.0,79.34023,80.34411,81.3528,81.35299,83.35564,83.35579,999.0,999.0,999.0,86.36771,3.5279834,86.88397,90.88738
9,9,1,19,6,2,1,9,1.0,8.0,90.89034,91.8935,92.90266,92.90279,94.90612,94.90626,999.0,999.0,999.0,97.91619,3.526821,98.43327,104.436676
10,10,1,17,2,2,5,8,1.0,9.0,104.43925,105.44233,106.45079,106.450935,108.45344,108.45362,999.0,999.0,999.0,111.46494,3.5279994,111.98185,113.985565
11,11,3,19,4,2,0,3,1.0,10.0,113.98705,114.99059,116.0023,116.00239,118.00628,118.006485,999.0,999.0,999.0,121.01404,3.523938,121.530655,125.53377
12,12,1,25,4,3.5,5,11,1.0,11.0,125.53621,126.53945,127.54758,127.547714,131.05067,131.05084,999.0,999.0,999.0,134.06367,3.528996,134.58003,138.58191
13,13,1,25,4,5,2,11,1.0,12.0,138.58418,139.587,140.58984,140.58998,145.59346,145.59361,999.0,999.0,999.0,148.59404,3.517522,149.11133,153.11475
14,14,2,23,2,5,4,7,1.0,13.0,153.11781,154.12047,155.12967,155.12985,160.1325,160.13264,999.0,999.0,999.0,163.14246,3.5265086,163.65935,165.66187
15,15,1,25,2,3.5,5,2,1.0,14.0,165.66507,166.66777,167.67603,167.67616,171.17885,171.17899,999.0,999.0,999.0,174.19112,3.5282898,174.70747,176.71045
